Phase,Item,Unit Cost (£),Essential,Refresh,Transformation,Ranges,Tooltip,Question Type,Options,Min,Max,Required,Validation
Discovery,Discovery questionnaire,150,1,1,1,
Discovery,Kickoff meeting/session,200,1,1,1,
Discovery,Meeting notes + recording,50,1,1,1,
Discovery,AI transcription summary,75,1,1,1,
Discovery,Stakeholder interviews,500,0,1,1,"1-2:500, 3-5:450, 6+:400"
Discovery,Stakeholder interview summaries (AI-generated),100,0,1,1,"1-2:100, 3-5:90, 6+:80"
Discovery,Cross-stakeholder synthesis document,800,0,0,1
Discovery,Asset collection folder,50,1,1,1
Discovery,Document repository,100,1,1,1
Discovery,Brand guidelines analysis (AI),150,1,1,1
Discovery,Competitor identification,200,0,1,1
Discovery,Competitor deep-dive analyses,300,0,1,1
Discovery,Competitor comparison table/report,400,0,1,1
Discovery,Competitive landscape report,600,0,0,1
Discovery,Analytics access setup (GA4 + Search Console),150,0,1,1
Discovery,GA4 analysis,300,0,1,1
Discovery,Search Console analysis,250,0,1,1
Discovery,Analytics insights document,400,0,1,1
Discovery,Customer interviews,600,0,0,1,"1-3:600, 4-6:550, 7+:500"
Discovery,Customer interview summaries (AI-generated),150,0,0,1,"1-3:150, 4-6:140, 7+:130"
Discovery,Customer insights synthesis,500,0,0,1
Discovery,Customer insight report,800,0,0,1
Discovery,Persona development,400,0,1,1
Discovery,Persona documents,200,0,1,1
Discovery,Customer journey mapping (current state),600,0,0,1
Discovery,Compliance requirements audit,500,0,0,1
Discovery,Compliance requirements checklist,300,0,0,1
Discovery,Technical audit,400,0,1,1
Discovery,Technical requirements specification,800,0,0,1
Discovery,Integration requirements specification,600,0,0,1
Discovery,Platform assessment notes,300,0,1,1
Discovery,Journey mapping (for new site),500,0,0,1
Discovery,Journey maps (visual),400,0,0,1
Discovery,Journey synthesis document,600,0,0,1
Discovery,Strategy deck development,1200,0,0,1
Discovery,Stakeholder presentation,400,0,0,1
Discovery,Presentation recording,100,0,0,1
Discovery,Alignment workshop,500,0,0,1
Discovery,Alignment notes,150,0,0,1
Discovery,Discovery summary document,300,1,1,1
Discovery,Complete discovery package,200,0,0,1
Discovery,Team briefing deck,400,0,0,1
Discovery,Internal team handoff workshop,300,0,0,1
UX,Information architecture development,800,1,1,1
UX,Site map,400,1,1,1
UX,Content matrix,500,0,0,1
UX,Content audit (if existing site),600,0,0,1
UX,Content audit spreadsheet,200,0,0,1
UX,Navigation architecture document,500,0,0,1
UX,User journey mapping,400,0,1,1
UX,Journey flow diagrams,300,0,1,1
UX,Touchpoint analysis,500,0,0,1
UX,Touchpoint analysis document,400,0,0,1
UX,Conversion optimization strategy,600,0,0,1
UX,Conversion strategy document,500,0,0,1
UX,Wireframe templates,300,1,1,1
UX,Wireframe detail level,200,1,1,1
UX,Interactive annotations,150,0,0,1
UX,Prototype,800,0,0,1
UX,User testing preparation,300,0,0,1
UX,User testing script,200,0,0,1
UX,User testing sessions,400,0,0,1,"1-3:400, 4-6:350, 7+:300"
UX,User testing recordings,100,0,0,1
UX,User testing analysis,500,0,0,1
UX,User testing report,400,0,0,1
UX,Iteration based on testing,600,0,0,1
UX,UX strategy deck,800,0,0,1
UX,UX documentation package,300,0,1,1
UX,Client presentations,200,1,1,1
UX,Revision rounds,150,1,1,1
UX,Client feedback documentation,100,1,1,1
Design,Design routes developed,500,1,1,1
Design,Design route presentation,300,0,1,1
Design,Design route presentation deck,400,0,1,1
Design,Homepage designs,600,1,1,1
Design,Template designs,400,1,1,1
Design,Responsive breakpoints,200,1,1,1
Design,Interactive states designed,300,0,0,1
Design,Design system development,800,0,0,1
